satellite_id,timestamp,orbit_error_m,clock_error_ns,radial_error_m,ephemeris_age_hours
G32,2025-07-06 00:15:00,51670900.177711055,16805693.49196331,-50169720.351756796,0.25
G01,2025-07-06 00:30:00,36452172.783249564,12563492.071531568,-25021895.805794504,0.5
G02,2025-07-06 00:30:00,31064804.986748025,12889834.309585739,-18632951.85309022,0.5
G03,2025-07-06 00:30:00,27975017.255219713,,-14826217.785701692,0.5
G04,2025-07-06 00:30:00,40030601.495340675,6037003.842978794,-30067145.39558095,0.5
G05,2025-07-06 00:30:00,20950653.96215742,-1304734.9462777514,-8344975.614290522,0.5044444444444445
G06,2025-07-06 00:30:00,46278845.81169539,-23005884.89726442,-40388072.99691199,0.5
G07,2025-07-06 00:30:00,36334517.74011016,-6200206.673492062,-24438142.072126705,0.5
G08,2025-07-06 00:30:00,12502713.43258749,2121131.703277257,-3362951.7284494145,0.5
G09,2025-07-06 00:30:00,36995508.04657182,11584515.28412561,-25810757.51693443,0.5
G10,2025-07-06 00:30:00,40673134.446793295,-14678395.861504802,-31075391.154696856,0.5044444444444445
G11,2025-07-06 00:30:00,12516053.305769382,12726660.292733561,-3005527.5960652046,0.5
G12,2025-07-06 00:30:00,47719126.2048129,-1957927.0476426987,-42946860.58491618,0.5
G13,2025-07-06 00:30:00,44776140.11224283,-163161.937942269,-37886164.04718223,0.5
G14,2025-07-06 00:30:00,52024046.91380047,6852828.247352775,-51182106.55479797,0.5
G15,2025-07-06 00:30:00,31668645.048812266,5708239.021407895,-18572896.655822806,0.5044444444444445
G16,2025-07-06 00:30:00,44025933.84348873,11910853.786843171,-36068125.9235685,0.5
G17,2025-07-06 00:30:00,46028031.206445605,-23811679.971644435,-39820392.264992595,0.5044444444444445
G18,2025-07-06 00:30:00,32426236.82138878,9300253.759028757,-19651017.69065063,0.5
G19,2025-07-06 00:30:00,18351030.08705332,4566632.0637872135,-6431106.415089912,0.5044444444444445
G20,2025-07-06 00:30:00,37890713.41178619,-163161.88184360362,-26939035.814319365,0.5
G21,2025-07-06 00:30:00,39564186.500250876,45685433.99205099,-29466983.087836422,0.5
G22,2025-07-06 00:30:00,40072770.55942642,1305317.3194802057,-29904044.66762607,0.5
G23,2025-07-06 00:30:00,50732147.2345498,8973930.99963991,-48605935.282797545,0.5
G24,2025-07-06 00:30:00,50263402.67186088,13216137.576719303,-47391216.63101226,0.5
